epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.305,0.67197,1.8831,0.94252,0.49913,0.64298,0.5177,0.43792,0.51136,1.12593,0.84717,0.000473158,0.000473158,0.000473158
2,820.167,0.5999,1.14726,0.90423,0.56147,0.76731,0.60618,0.52994,0.50952,1.02669,0.86249,0.000902491,0.000902491,0.000902491
3,1333.64,0.56464,0.97754,0.89085,0.508,0.7503,0.59382,0.51812,0.49345,0.9029,0.86134,0.00128467,0.00128467,0.00128467
4,1743.49,0.54866,0.9357,0.89371,0.54239,0.78678,0.61716,0.54219,0.46886,0.84781,0.85769,0.00121679,0.00121679,0.00121679
5,2013.09,0.52584,0.88824,0.8855,0.56639,0.81281,0.63792,0.56927,0.45369,0.78452,0.84467,0.00114606,0.00114606,0.00114606
6,2521.93,0.50532,0.83397,0.87767,0.52584,0.81263,0.63109,0.56081,0.45267,0.7575,0.85078,0.00107532,0.00107532,0.00107532
7,3052.17,0.5026,0.7933,0.87717,0.55595,0.79281,0.64084,0.57272,0.43358,0.73418,0.84727,0.00100459,0.00100459,0.00100459
8,3551.16,0.4911,0.79109,0.87396,0.61609,0.80702,0.68364,0.62382,0.41285,0.70129,0.84149,0.000933851,0.000933851,0.000933851
9,3828.78,0.47936,0.77941,0.87429,0.59157,0.80921,0.68939,0.62306,0.41106,0.68857,0.84249,0.000863116,0.000863116,0.000863116
10,4215.97,0.46971,0.73959,0.86976,0.64698,0.76087,0.71094,0.64704,0.40544,0.6942,0.83611,0.00079238,0.00079238,0.00079238
11,4484.59,0.42771,0.67951,0.84671,0.66863,0.78661,0.73084,0.6655,0.40424,0.67909,0.83663,0.000721645,0.000721645,0.000721645
12,4736.04,0.41755,0.65716,0.84183,0.6668,0.77443,0.74075,0.67876,0.39598,0.6507,0.83506,0.000650909,0.000650909,0.000650909
13,4988.58,0.40729,0.6317,0.83963,0.70272,0.79686,0.78552,0.71786,0.38113,0.62304,0.82919,0.000580174,0.000580174,0.000580174
14,5243.79,0.39902,0.60179,0.83667,0.69047,0.77178,0.77418,0.71231,0.38328,0.63415,0.83042,0.000509438,0.000509438,0.000509438
15,5493.4,0.37849,0.58954,0.83141,0.64788,0.79826,0.74548,0.67713,0.38035,0.62367,0.83182,0.000438703,0.000438703,0.000438703
16,5733.27,0.38212,0.58141,0.8318,0.70014,0.80453,0.78562,0.72334,0.37297,0.59612,0.82826,0.000367967,0.000367967,0.000367967
17,5989.15,0.3759,0.55505,0.8324,0.71275,0.79362,0.79043,0.72837,0.36137,0.5685,0.82355,0.000297232,0.000297232,0.000297232
18,6278.6,0.36254,0.5373,0.82586,0.72957,0.768,0.79661,0.73825,0.35567,0.56854,0.82506,0.000226497,0.000226497,0.000226497
19,6643.7,0.35987,0.52757,0.82259,0.68348,0.79128,0.77471,0.71518,0.35276,0.57671,0.82418,0.000155761,0.000155761,0.000155761
20,7001.96,0.35269,0.52777,0.82334,0.7231,0.79529,0.81283,0.75493,0.34976,0.55048,0.82271,8.50255e-05,8.50255e-05,8.50255e-05
